1_name_b;n/a
1_name_lt;Fagy
1_name_sa;TEST
1_tooltip_lt;A kártya tulajdonosának köre elején, {Damage} pont sebzést okoz az ezen a soron lévô legerôsebb egységnek.
10_name_b;Ignorált.
10_name_sa;Ignorált.
100_fluff;A Kontinens nem minden lakója követ királyokat, királynôket, hercegeket, vagy császárokat. Ezt mondani sem kell. Azonban nem tudnak ellenállni egy jól kitömött pénzes erszénynek. Végtére is, mindenkinek megvan az ára.
100_name;Semleges
101_fluff;Förtelmes szörnyek serege, az alghoultól a zeuglig. Mindenki féli ôket, nordlingok és nilfgaardiak egyaránt.
101_name;Szörnyek
102_fluff;A hatalmas nilfgaardi császárság nem nyughat, amíg a fekete-arany lobogóik nem díszítik az egész Kontinenst. Ha ennek idejét kellene meghatározni, akkor inkább elôbb, mint utóbb.
102_name;Nilfgaard
1024_name_lt;Sárkányálom
1024_tooltip_lt;A kártyatulajdonos körének elején, amikor az idôzítô lejár, {Damage} pont sebzést okoz minden egységnek ezen a soron.
103_fluff;Királyságok, hercegségek, határvidékek. Északon rengeteg, változatos terület található. Azonban, most nincs idejük egymással viaskodni, az erôteljes nilfgaardi császárság megérdemli a teljes figyelmüket.
103_name;Északi Királyságok
104_fluff;Lázadók, akik a másfajúak jogaiért harcolnak. Semmi nem állíthatja meg ôket, hogy elérjék céljukat. A Kontinens erdôit csaták helyszínévé változtatják... és temetôkké.
104_name;Mókus
105_fluff;Szenvedélyes harcosok, aki nem félik sem a halált, sem a hideget. Azonban nekik is vannak hatalmas gyengéik... a mézsör, a dalok, és a szénában való fetrengés.
105_name;Skellige
106_fluff;Ignorált.
106_name;Ignorált.
11_name_b;Ignorált.
11_name_sa;Ignorált.
112101_fluff;Oda megyek ahova akarok, és akkor, amikor kedvem tartja.
112101_name;Ciri
112101_tooltip;<keyword=deploy>Lehelyezés</keyword>: {Damage} pont sebzést okoz {MaxTargets} ellenséges egységnek.\nAmikor elveszíted a fordulót, visszakerül a kezedbe.
